_id,"device_id",Unknown_morning,Unknown_afternoon,Unknown_evening,Communication_morning,Communication_afternoon,Communication_evening,Social_morning,Social_afternoon,Social_evening,Travel_morning,Travel_afternoon,Travel_evening,Productivity_morning,Productivity_afternoon,Productivity_evening,Weather_morning,Weather_afternoon,Weather_evening,Finance_morning,Finance_afternoon,Finance_evening,Entertainment_morning,Entertainment_afternoon,Entertainment_evening,Books_morning,Books_afternoon,Books_evening,Personalization_morning,Personalization_afternoon,Personalization_evening,Lifestyle_morning,Lifestyle_afternoon,Lifestyle_evening,Game_morning,Game_afternoon,Game_evening,Health_morning,Health_afternoon,Health_evening,Libraries_morning,Libraries_afternoon,Libraries_evening,Education_morning,Education_afternoon,Education_evening
11,"33ea8037-8052-415a-87cb-f6c6e12a4c52",0.240129,0.181655,0.578216,0.391617,0.229318,0.379065,0.380373,0.325581,0.294046,0.373226,0.322639,0.304135,0.377604,0.367589,0.254807,0.377604,0.367589,0.254807,0.377604,0.367589,0.254807,0.308516,0.301531,0.389953,0.308516,0.301531,0.389953,0.31222,0.294164,0.393616,0.31222,0.294164,0.393616,0.3143,0.294279,0.391422,0.290123,0.348565,0.361312,0.290123,0.348565,0.361312,0.290123,0.348565,0.361312
12,"e9ba6a24-5e7b-44f8-8b43-a71f92e8ae04",0.152326,0.281872,0.565802,0.146344,0.291721,0.561935,0.196411,0.38534,0.418249,0.207661,0.426658,0.365681,0.224112,0.417249,0.358639,0.252793,0.405285,0.341922,0.376955,0.383699,0.239345,0.262406,0.362092,0.375502,0.270654,0.372125,0.357221,0.270654,0.372125,0.357221,0.305364,0.354394,0.340242,0.251529,0.402737,0.345734,0.251529,0.402737,0.345734,0.276316,0.393665,0.330019,0.276316,0.393665,0.330019
13,"03b71f3f-2a39-44d1-a1d3-f66cd6b2eb5d",0.129367,0.814696,0.055937,0.352864,0.506033,0.141103,0.376593,0.417132,0.206275,0.461585,0.312849,0.225566,0.4637,0.253042,0.283258,0.4637,0.253042,0.283258,0.4637,0.253042,0.283258,0.333887,0.305093,0.361019,0.333887,0.305093,0.361019,0.345945,0.314733,0.339322,0.345945,0.314733,0.339322,0.345945,0.314733,0.339322,0.345945,0.314733,0.339322,0.345945,0.314733,0.339322,0.345945,0.314733,0.339322
14,"113211a4-1e96-4168-a0e8-fb205a367271",0,0.000133,0.999867,0,0.041246,0.958754,0,0.028057,0.971943,0,0.028057,0.971943,0,0.028057,0.971943,0,0.028057,0.971943,0,0.028057,0.971943,0,0.271043,0.728957,0,0.271043,0.728957,0,0.271043,0.728957,0,0.271043,0.728957,0,0.271043,0.728957,0,0.271043,0.728957,0,0.271043,0.728957,0,0.271043,0.728957
15,"0c030ede-4ebd-409c-bc76-344d5a08dadc",0.765229,0.170271,0.0645,0.558246,0.162682,0.279072,0.628797,0.159965,0.211238,0.55802,0.161504,0.280476,0.451493,0.323994,0.224512,0.507178,0.296378,0.196444,0.576723,0.292314,0.130962,0.549487,0.335934,0.114579,0.510238,0.383367,0.106395,0.510238,0.383367,0.106395,0.528339,0.372359,0.099302,0.557275,0.349629,0.093096,0.557275,0.349629,0.093096,0.557275,0.349629,0.093096,0.557275,0.349629,0.093096
16,"251c72dd-0cf2-4b20-ab82-2e78e806f273",0.931249,0.053018,0.015733,0.795564,0.191106,0.01333,0.650777,0.337863,0.01136,0.73436,0.257072,0.008567,0.747152,0.235121,0.017727,0.740419,0.244809,0.014772,0.777202,0.210136,0.012662,0.763266,0.147128,0.089606,0.763266,0.147128,0.089606,0.763266,0.147128,0.089606,0.694052,0.133752,0.172196,0.694052,0.133752,0.172196,0.719548,0.122606,0.157846,0.719548,0.122606,0.157846,0.719548,0.122606,0.157846
17,"99b19045-09df-4aba-834f-ddc4932f9923",0.194584,0.094786,0.71063,0.247364,0.266119,0.486517,0.245099,0.318857,0.436044,0.433824,0.239143,0.327033,0.359923,0.203473,0.436604,0.359923,0.203473,0.436604,0.466602,0.169561,0.363837,0.399945,0.145338,0.454717,0.399945,0.145338,0.454717,0.399945,0.145338,0.454717,0.399945,0.145338,0.454717,0.349952,0.12717,0.522878,0.349952,0.12717,0.522878,0.349952,0.12717,0.522878,0.349952,0.12717,0.522878
18,"22a4ce30-ab29-4c8d-9b3e-e6da26fd0a88",0.353704,0.257357,0.388939,0.262454,0.234837,0.502709,0.185077,0.193733,0.62119,0.126364,0.151817,0.721819,0.177903,0.177112,0.644985,0.197716,0.173057,0.629226,0.243365,0.206062,0.550573,0.219296,0.205366,0.575338,0.219296,0.205366,0.575338,0.219296,0.205366,0.575338,0.202427,0.189569,0.608004,0.172855,0.154025,0.67312,0.172855,0.154025,0.67312,0.172855,0.154025,0.67312,0.172855,0.154025,0.67312
19,"d8f6890b-fa70-4fc3-8093-63eb264e3642",0.177749,0.022088,0.800163,0.317817,0.06508,0.617103,0.495708,0.08596,0.418332,0.371781,0.203538,0.424681,0.315402,0.198565,0.486033,0.412301,0.165471,0.422228,0.447747,0.141832,0.410421,0.413736,0.162845,0.423419,0.413736,0.162845,0.423419,0.460023,0.150359,0.389617,0.424637,0.215716,0.359647,0.468735,0.238892,0.292373,0.468735,0.238892,0.292373,0.468735,0.238892,0.292373,0.468735,0.238892,0.292373
20,"287f03e9-08eb-485a-80d0-34defb5ccf75",0.318365,0.200589,0.481046,0.322404,0.214357,0.463239,0.548269,0.142905,0.308826,0.548269,0.142905,0.308826,0.661202,0.107179,0.23162,0.661202,0.107179,0.23162,0.661202,0.107179,0.23162,0.734316,0.111271,0.154413,0.734316,0.111271,0.154413,0.734316,0.111271,0.154413,0.772271,0.095375,0.132354,0.772271,0.095375,0.132354,0.772271,0.095375,0.132354,0.772271,0.095375,0.132354,0.772271,0.095375,0.132354
